kind,idx,failed_u,failed_v,outages,avg_delta_pmus,max_delta_pmus,avg_cov_fixed,avg_cov_reopt,is_critical
line,0,0,1,1,1.0,1,98.24561403508773,100.0,True
line,1,1,2,1,0.0,0,100.0,100.0,False
line,2,2,3,1,0.0,0,100.0,100.0,False
line,3,3,4,1,1.0,1,98.24561403508773,100.0,True
line,4,3,5,1,1.0,1,98.24561403508773,100.0,True
line,5,5,6,1,0.0,0,100.0,100.0,False
line,6,5,7,1,0.0,0,100.0,100.0,False
line,7,7,8,1,1.0,1,98.24561403508773,100.0,True
line,8,8,9,1,1.0,1,98.24561403508773,100.0,True
line,9,8,10,1,1.0,1,100.0,100.0,True
line,10,8,11,1,1.0,1,98.24561403508773,100.0,True
line,11,8,12,1,0.0,0,100.0,100.0,False
line,12,12,13,1,0.0,0,100.0,100.0,False
line,13,12,14,1,0.0,0,100.0,100.0,False
line,14,0,14,1,1.0,1,100.0,100.0,True
line,15,0,15,1,1.0,1,98.24561403508773,100.0,True
line,16,0,16,1,1.0,1,98.24561403508773,100.0,True
line,17,2,14,1,0.0,0,100.0,100.0,False
line,18,4,5,1,0.0,0,100.0,100.0,False
line,19,6,7,1,0.0,0,100.0,100.0,False
line,20,9,11,1,0.0,0,100.0,100.0,False
line,21,10,12,1,0.0,0,100.0,100.0,False
line,22,11,12,1,0.0,0,100.0,100.0,False
line,23,11,15,1,0.0,0,100.0,100.0,False
line,24,11,16,1,0.0,0,100.0,100.0,False
line,25,13,14,1,0.0,0,100.0,100.0,False
line,26,17,18,1,0.0,0,100.0,100.0,False
line,27,18,19,1,1.0,1,98.24561403508773,100.0,True
line,28,20,21,1,0.0,0,100.0,100.0,False
line,29,21,22,1,0.0,0,100.0,100.0,False
line,30,22,23,1,1.0,1,98.24561403508773,100.0,True
line,31,25,26,1,0.0,0,98.24561403508773,100.0,False
line,32,26,27,1,0.0,0,100.0,100.0,False
line,33,27,28,1,0.0,0,98.24561403508773,100.0,False
line,34,24,29,1,0.0,0,98.24561403508773,100.0,False
line,35,29,30,1,0.0,0,100.0,100.0,False
line,36,30,31,1,0.0,0,98.24561403508773,100.0,False
line,37,31,32,1,0.0,0,98.24561403508773,100.0,False
line,38,33,34,1,0.0,0,100.0,100.0,False
line,39,34,35,1,0.0,0,100.0,100.0,False
line,40,35,36,1,0.0,0,100.0,100.0,False
line,41,36,37,1,0.0,0,100.0,100.0,False
line,42,36,38,1,0.0,0,98.24561403508773,100.0,False
line,43,35,39,1,0.0,0,100.0,100.0,False
line,44,21,37,1,1.0,1,98.24561403508773,100.0,True
line,45,40,41,1,0.0,0,100.0,100.0,False
line,46,40,42,1,0.0,0,100.0,100.0,False
line,47,37,43,1,0.0,0,98.24561403508773,100.0,False
line,48,45,46,1,1.0,1,98.24561403508773,100.0,True
line,49,46,47,1,0.0,0,100.0,100.0,False
line,50,47,48,1,0.0,0,100.0,100.0,False
line,51,48,49,1,0.0,0,100.0,100.0,False
line,52,49,50,1,1.0,1,98.24561403508773,100.0,True
line,53,28,51,1,0.0,0,100.0,100.0,False
line,54,51,52,1,0.0,0,100.0,100.0,False
line,55,52,53,1,1.0,1,98.24561403508773,100.0,True
line,56,53,54,1,0.0,0,100.0,100.0,False
line,57,43,44,1,0.0,0,100.0,100.0,False
line,58,55,40,1,0.0,0,100.0,100.0,False
line,59,55,41,1,-1.0,-1,98.24561403508773,100.0,False
line,60,56,55,1,-1.0,-1,98.24561403508773,100.0,False
line,61,37,48,1,0.0,0,100.0,100.0,False
line,62,37,47,1,1.0,1,98.24561403508773,100.0,True
trafo,0,17,3,1,0.0,0,100.0,100.0,False
trafo,1,17,3,1,0.0,0,100.0,100.0,False
trafo,2,19,20,1,1.0,1,98.24561403508773,100.0,True
trafo,3,24,23,1,0.0,0,100.0,100.0,False
trafo,4,24,23,1,0.0,0,100.0,100.0,False
trafo,5,25,23,1,0.0,0,100.0,100.0,False
trafo,6,28,6,1,0.0,0,98.24561403508773,100.0,False
trafo,7,31,33,1,0.0,0,100.0,100.0,False
trafo,8,40,10,1,0.0,0,100.0,100.0,False
trafo,9,44,14,1,0.0,0,98.24561403508773,100.0,False
trafo,10,45,13,1,0.0,0,100.0,100.0,False
trafo,11,50,9,1,0.0,0,100.0,100.0,False
trafo,12,48,12,1,0.0,0,100.0,100.0,False
trafo,13,42,10,1,0.0,0,98.24561403508773,100.0,False
trafo,14,55,39,1,-1.0,-1,98.24561403508773,100.0,False
trafo,15,56,38,1,0.0,0,100.0,100.0,False
trafo,16,54,8,1,1.0,1,98.24561403508773,100.0,True
